link_id,truck_restr_base,truck_restr_with_condition
+1154525043,"[null,\"478\",null,null,null,null]",[]
-1229912163,"[\"26499\",null,null,null,null,null]",[]
-1154533352,"[null,\"455\",null,null,null,null]",[]
-1229911155,"[\"26499\",null,null,null,null,null]",[]
+1154533355,"[null,\"455\",null,null,null,null]",[]
+1154532097,"[\"26499\",null,null,null,null,null]",[]
+1229912163,"[\"26499\",null,null,null,null,null]",[]
+129430365,"[\"26499\",null,null,null,null,null]",[]
-1154529554,"[null,\"478\",null,null,null,null]",[]
+787922881,"[null,\"404\",null,null,null,null]",[]
-1239069056,"[\"26499\",null,null,null,null,null]",[]
-787922881,"[null,\"404\",null,null,null,null]",[]
-1165844563,"[null,\"531\",null,null,null,null]",[]
+1154532096,"[\"26499\",null,null,null,null,null]",[]
+1168149838,[],"[[\"B1168149838\",\"1007\",null,\"6804\",null,null,null,null,\"6\",null,null,null,null,null,null,null,null,null,null,null,null,null]]"
+118106005,"[\"26499\",null,null,null,null,null]",[]
+1239069055,"[\"26499\",null,null,null,null,null]",[]
-122173749,"[\"26499\",null,null,null,null,null]",[]
-1154529555,"[null,\"478\",null,null,null,null]",[]
+122173746,"[\"26499\",null,null,null,null,null]",[]
+129430385,"[\"26499\",null,null,null,null,null]",[]
-129430385,"[\"26499\",null,null,null,null,null]",[]
-1155875311,"[null,\"531\",null,null,null,null]",[]
-1154563555,[],"[[\"B1154563555\",\"1007\",null,\"6804\",null,null,null,null,\"6\",null,null,null,null,null,null,null,null,null,null,null,null,null]]"
-129430344,"[\"26499\",null,null,null,null,null]",[]
-1239068708,"[null,\"404\",null,null,null,null]",[]
+1154563561,[],"[[\"B1154563561\",\"1007\",null,\"6804\",null,null,null,null,\"6\",null,null,null,null,null,null,null,null,null,null,null,null,null]]"
+129430364,"[\"26499\",null,null,null,null,null]",[]
-1155973355,"[\"26499\",null,null,null,null,null]",[]
+1154529555,"[null,\"478\",null,null,null,null]",[]
+122173908,"[\"26499\",null,null,null,null,null]",[]
+1154525044,"[null,\"478\",null,null,null,null]",[]
-1154563558,[],"[[\"B1154563558\",\"1007\",null,\"6804\",null,null,null,null,\"7\",null,null,null,null,null,null,null,null,null,null,null,null,null]]"
-1155894413,[],"[[\"B1155894413\",\"1007\",null,\"10886\",null,null,null,null,\"7\",null,null,null,null,\"1\",null,null,null,null,null,null,null,null]]"
-1239068531,"[null,\"493\",null,null,null,null]",[]
+103655059,"[\"26499\",null,null,null,null,null]",[]
+129430811,"[\"26499\",null,null,null,null,null]",[]
-1229912131,"[\"26499\",null,null,null,null,null]",[]
-1168149838,[],"[[\"B1168149838\",\"1007\",null,\"6804\",null,null,null,null,\"7\",null,null,null,null,null,null,null,null,null,null,null,null,null]]"
